score,tier,action,reason,outreach,breakdown,permit_id,address,project_type,estimated_value,description,contractor_name,issue_date,category,work_type,source,city,актуальность,needs_email,email,contact_name,stage
92,Hot,Call today,"commercial project, large budget $113.3M, new construction, multifamily — high volume","Hi Weitz Company Llc (The),

We came across your project at 3875 Walnut ST, Denver, CO and thought we'd introduce ourselves. Zement Stone supplies manufactured stone veneer to multi-family developers across Colorado — exact quantities shipped (no overbuying standard pallets), 2,000+ PSI strength built for freeze-thaw cycles, and local production for fast turnaround.

We'd love to send you a free sample kit and discuss pricing for your project.

Best,
Zement Stone | Littleton, CO | 303-993-2737 | zementstone.com","{""base"": 40, ""criteria"": [{""key"": ""project_type"", ""label"": ""Project Type"", ""icon"": ""🏗"", ""found"": ""Commercial"", ""points"": 15, ""matched"": true}, {""key"": ""estimated_value"", ""label"": ""Estimated Value"", ""icon"": ""💰"", ""found"": ""$113,315,518"", ""points"": 25, ""matched"": true}, {""key"": ""work_type"", ""label"": ""Work Type"", ""icon"": ""🔨"", ""found"": ""New Construction"", ""points"": 12, ""matched"": true}, {""key"": ""keywords"", ""label"": ""Property Use Keywords"", ""icon"": ""🏷"", ""found"": ""No relevant keywords"", ""points"": 0, ""matched"": false}], ""raw_score"": 92, ""final_score"": 92, ""clamped"": false}",2026-COMMCON-0000054,"3875 Walnut ST, Denver, CO",Commercial,113315518,"New Building — Elyria Swansea neighborhood, 358.0 units",Weitz Company Llc (The),2026-04-23,multifamily,New Construction,"Denver, CO",Denver,Very High,True,,,
92,Hot,Call today,"commercial project, large budget $19.2M, new construction, hotel — high stone demand","Hi Denver Commercial Builders Inc Dba Dcb Construction Company Inc,

We noticed your project at 6211 N Argonne ST, Denver, CO and wanted to reach out. Zement Stone specializes in architectural stone veneer for hospitality projects — with 2,000+ PSI compressive strength and true 100 sq.ft coverage (no mortar-joint padding like most manufacturers). We can also match any custom color to your brand standards.

Would you be open to a free sample kit? Happy to connect at your convenience.

Best,
Zement Stone | Littleton, CO | 303-993-2737 | zementstone.com","{""base"": 40, ""criteria"": [{""key"": ""project_type"", ""label"": ""Project Type"", ""icon"": ""🏗"", ""found"": ""Commercial"", ""points"": 15, ""matched"": true}, {""key"": ""estimated_value"", ""label"": ""Estimated Value"", ""icon"": ""💰"", ""found"": ""$19,210,970"", ""points"": 25, ""matched"": true}, {""key"": ""work_type"", ""label"": ""Work Type"", ""icon"": ""🔨"", ""found"": ""New Construction"", ""points"": 12, ""matched"": true}, {""key"": ""keywords"", ""label"": ""Property Use Keywords"", ""icon"": ""🏷"", ""found"": ""No relevant keywords"", ""points"": 0, ""matched"": false}], ""raw_score"": 92, ""final_score"": 92, ""clamped"": false}",2024-COMMCON-0000074,"6211 N Argonne ST, Denver, CO",Commercial,19210970,New Building — DIA neighborhood,Denver Commercial Builders Inc Dba Dcb Construction Company Inc,2025-06-09,hotel,New Construction,"Denver, CO",Denver,Medium,True,,,
92,Hot,Call today,"commercial project, large budget $26.4M, new construction","Hi Haselden Construction Llc,

We saw your project at 242 N Milwaukee ST, Denver, CO and wanted to introduce Zement Stone. We're a local Colorado manufacturer of architectural stone veneer — 2,000+ PSI strength, 100% honest square footage coverage, custom colors, and fast lead times since we produce right here in Littleton.

Happy to send a free sample kit or meet at our showroom.

Best,
Zement Stone | Littleton, CO | 303-993-2737 | zementstone.com","{""base"": 40, ""criteria"": [{""key"": ""project_type"", ""label"": ""Project Type"", ""icon"": ""🏗"", ""found"": ""Commercial"", ""points"": 15, ""matched"": true}, {""key"": ""estimated_value"", ""label"": ""Estimated Value"", ""icon"": ""💰"", ""found"": ""$26,445,024"", ""points"": 25, ""matched"": true}, {""key"": ""work_type"", ""label"": ""Work Type"", ""icon"": ""🔨"", ""found"": ""New Construction"", ""points"": 12, ""matched"": true}, {""key"": ""keywords"", ""label"": ""Property Use Keywords"", ""icon"": ""🏷"", ""found"": ""No relevant keywords"", ""points"": 0, ""matched"": false}], ""raw_score"": 92, ""final_score"": 92, ""clamped"": false}",2024-COMMCON-0000111,"242 N Milwaukee ST, Denver, CO",Commercial,26445024,Phased Construction — Cherry Creek neighborhood,Haselden Construction Llc,2025-09-30,office,New Construction,"Denver, CO",Denver,Medium,True,,,
92,Hot,Call today,"commercial project, large budget $25.0M, new construction","Hi R.G. Brinkmann Company Dba Brinkmann Constructors,

We saw your project at 96 N Emerson ST, Denver, CO and wanted to introduce Zement Stone. We're a local Colorado manufacturer of architectural stone veneer — 2,000+ PSI strength, 100% honest square footage coverage, custom colors, and fast lead times since we produce right here in Littleton.

Happy to send a free sample kit or meet at our showroom.

Best,
Zement Stone | Littleton, CO | 303-993-2737 | zementstone.com","{""base"": 40, ""criteria"": [{""key"": ""project_type"", ""label"": ""Project Type"", ""icon"": ""🏗"", ""found"": ""Commercial"", ""points"": 15, ""matched"": true}, {""key"": ""estimated_value"", ""label"": ""Estimated Value"", ""icon"": ""💰"", ""found"": ""$25,035,031"", ""points"": 25, ""matched"": true}, {""key"": ""work_type"", ""label"": ""Work Type"", ""icon"": ""🔨"", ""found"": ""New Construction"", ""points"": 12, ""matched"": true}, {""key"": ""keywords"", ""label"": ""Property Use Keywords"", ""icon"": ""🏷"", ""found"": ""No relevant keywords"", ""points"": 0, ""matched"": false}], ""raw_score"": 92, ""final_score"": 92, ""clamped"": false}",2025-COMMCON-0001441,"96 N Emerson ST, Denver, CO",Commercial,25035031,Phased Construction — Speer neighborhood,R.G. Brinkmann Company Dba Brinkmann Constructors,2026-01-05,commercial,New Construction,"Denver, CO",Denver,High,True,,,
92,Hot,Call today,"commercial project, large budget $24.8M, new construction","Hi Pcl Construction Services Inc,

We saw your project at 2500 E 2nd, Denver, CO and wanted to introduce Zement Stone. We're a local Colorado manufacturer of architectural stone veneer — 2,000+ PSI strength, 100% honest square footage coverage, custom colors, and fast lead times since we produce right here in Littleton.

Happy to send a free sample kit or meet at our showroom.

Best,
Zement Stone | Littleton, CO | 303-993-2737 | zementstone.com","{""base"": 40, ""criteria"": [{""key"": ""project_type"", ""label"": ""Project Type"", ""icon"": ""🏗"", ""found"": ""Commercial"", ""points"": 15, ""matched"": true}, {""key"": ""estimated_value"", ""label"": ""Estimated Value"", ""icon"": ""💰"", ""found"": ""$24,818,410"", ""points"": 25, ""matched"": true}, {""key"": ""work_type"", ""label"": ""Work Type"", ""icon"": ""🔨"", ""found"": ""New Construction"", ""points"": 12, ""matched"": true}, {""key"": ""keywords"", ""label"": ""Property Use Keywords"", ""icon"": ""🏷"", ""found"": ""No relevant keywords"", ""points"": 0, ""matched"": false}], ""raw_score"": 92, ""final_score"": 92, ""clamped"": false}",2025-COMMCON-0001205,"2500 E 2nd, Denver, CO",Commercial,24818410,New Building — Cherry Creek neighborhood,Pcl Construction Services Inc,2025-06-30,office,New Construction,"Denver, CO",Denver,Medium,True,,,
92,Hot,Call today,"commercial project, large budget $24.7M, new construction, multifamily — high volume","Hi Calcon Constructors Inc,

We came across your project at 5375 W 10th Ave, Denver, CO and thought we'd introduce ourselves. Zement Stone supplies manufactured stone veneer to multi-family developers across Colorado — exact quantities shipped (no overbuying standard pallets), 2,000+ PSI strength built for freeze-thaw cycles, and local production for fast turnaround.

We'd love to send you a free sample kit and discuss pricing for your project.

Best,
Zement Stone | Littleton, CO | 303-993-2737 | zementstone.com","{""base"": 40, ""criteria"": [{""key"": ""project_type"", ""label"": ""Project Type"", ""icon"": ""🏗"", ""found"": ""Commercial"", ""points"": 15, ""matched"": true}, {""key"": ""estimated_value"", ""label"": ""Estimated Value"", ""icon"": ""💰"", ""found"": ""$24,697,389"", ""points"": 25, ""matched"": true}, {""key"": ""work_type"", ""label"": ""Work Type"", ""icon"": ""🔨"", ""found"": ""New Construction"", ""points"": 12, ""matched"": true}, {""key"": ""keywords"", ""label"": ""Property Use Keywords"", ""icon"": ""🏷"", ""found"": ""No relevant keywords"", ""points"": 0, ""matched"": false}], ""raw_score"": 92, ""final_score"": 92, ""clamped"": false}",2025-COMMCON-0002435,"5375 W 10th Ave, Denver, CO",Commercial,24697389,"New Building — Villa Park neighborhood, 150.0 units",Calcon Constructors Inc,2026-04-21,multifamily,New Construction,"Denver, CO",Denver,Very High,True,,,
92,Hot,Call today,"commercial project, large budget $22.6M, new construction, hotel — high stone demand","Hi Gerald H Phipps Inc Dba Gh Phipps Construction Company,

We noticed your project at 101 W 14th Avenue, Denver, CO and wanted to reach out. Zement Stone specializes in architectural stone veneer for hospitality projects — with 2,000+ PSI compressive strength and true 100 sq.ft coverage (no mortar-joint padding like most manufacturers). We can also match any custom color to your brand standards.

Would you be open to a free sample kit? Happy to connect at your convenience.

Best,
Zement Stone | Littleton, CO | 303-993-2737 | zementstone.com","{""base"": 40, ""criteria"": [{""key"": ""project_type"", ""label"": ""Project Type"", ""icon"": ""🏗"", ""found"": ""Commercial"", ""points"": 15, ""matched"": true}, {""key"": ""estimated_value"", ""label"": ""Estimated Value"", ""icon"": ""💰"", ""found"": ""$22,587,384"", ""points"": 25, ""matched"": true}, {""key"": ""work_type"", ""label"": ""Work Type"", ""icon"": ""🔨"", ""found"": ""New Construction"", ""points"": 12, ""matched"": true}, {""key"": ""keywords"", ""label"": ""Property Use Keywords"", ""icon"": ""🏷"", ""found"": ""No relevant keywords"", ""points"": 0, ""matched"": false}], ""raw_score"": 92, ""final_score"": 92, ""clamped"": false}",2025-COMMCON-0002127,"101 W 14th Avenue, Denver, CO",Commercial,22587384,Addition — Civic Center neighborhood,Gerald H Phipps Inc Dba Gh Phipps Construction Company,2026-01-08,hotel,New Construction,"Denver, CO",Denver,High,True,,,
92,Hot,Call today,"commercial project, large budget $21.0M, new construction","Hi Build.R.S Corp Llc,

We saw your project at 3701 W 16th AVE, Denver, CO and wanted to introduce Zement Stone. We're a local Colorado manufacturer of architectural stone veneer — 2,000+ PSI strength, 100% honest square footage coverage, custom colors, and fast lead times since we produce right here in Littleton.

Happy to send a free sample kit or meet at our showroom.

Best,
Zement Stone | Littleton, CO | 303-993-2737 | zementstone.com","{""base"": 40, ""criteria"": [{""key"": ""project_type"", ""label"": ""Project Type"", ""icon"": ""🏗"", ""found"": ""Commercial"", ""points"": 15, ""matched"": true}, {""key"": ""estimated_value"", ""label"": ""Estimated Value"", ""icon"": ""💰"", ""found"": ""$20,994,751"", ""points"": 25, ""matched"": true}, {""key"": ""work_type"", ""label"": ""Work Type"", ""icon"": ""🔨"", ""found"": ""New Construction"", ""points"": 12, ""matched"": true}, {""key"": ""keywords"", ""label"": ""Property Use Keywords"", ""icon"": ""🏷"", ""found"": ""No relevant keywords"", ""points"": 0, ""matched"": false}], ""raw_score"": 92, ""final_score"": 92, ""clamped"": false}",2023-COMMCON-0000522,"3701 W 16th AVE, Denver, CO",Commercial,20994751,Phased Construction — West Colfax neighborhood,Build.R.S Corp Llc,2025-09-23,commercial,New Construction,"Denver, CO",Denver,Medium,True,,,
92,Hot,Call today,"commercial project, large budget $20.2M, new construction, multifamily — high volume","Hi I-Kota Llc,

We came across your project at 2150 E 49th AVE, Denver, CO and thought we'd introduce ourselves. Zement Stone supplies manufactured stone veneer to multi-family developers across Colorado — exact quantities shipped (no overbuying standard pallets), 2,000+ PSI strength built for freeze-thaw cycles, and local production for fast turnaround.

We'd love to send you a free sample kit and discuss pricing for your project.

Best,
Zement Stone | Littleton, CO | 303-993-2737 | zementstone.com","{""base"": 40, ""criteria"": [{""key"": ""project_type"", ""label"": ""Project Type"", ""icon"": ""🏗"", ""found"": ""Commercial"", ""points"": 15, ""matched"": true}, {""key"": ""estimated_value"", ""label"": ""Estimated Value"", ""icon"": ""💰"", ""found"": ""$20,219,551"", ""points"": 25, ""matched"": true}, {""key"": ""work_type"", ""label"": ""Work Type"", ""icon"": ""🔨"", ""found"": ""New Construction"", ""points"": 12, ""matched"": true}, {""key"": ""keywords"", ""label"": ""Property Use Keywords"", ""icon"": ""🏷"", ""found"": ""No relevant keywords"", ""points"": 0, ""matched"": false}], ""raw_score"": 92, ""final_score"": 92, ""clamped"": false}",2025-COMMCON-0000407,"2150 E 49th AVE, Denver, CO",Commercial,20219551,"New Building — Elyria Swansea neighborhood, 152.0 units",I-Kota Llc,2025-08-07,multifamily,New Construction,"Denver, CO",Denver,Medium,True,,,
92,Hot,Call today,"commercial project, large budget $19.3M, new construction, multifamily — high volume","Hi Deneuve Design Inc,

We came across your project at 1799 N Pennsylvania St, Denver, CO and thought we'd introduce ourselves. Zement Stone supplies manufactured stone veneer to multi-family developers across Colorado — exact quantities shipped (no overbuying standard pallets), 2,000+ PSI strength built for freeze-thaw cycles, and local production for fast turnaround.

We'd love to send you a free sample kit and discuss pricing for your project.

Best,
Zement Stone | Littleton, CO | 303-993-2737 | zementstone.com","{""base"": 40, ""criteria"": [{""key"": ""project_type"", ""label"": ""Project Type"", ""icon"": ""🏗"", ""found"": ""Commercial"", ""points"": 15, ""matched"": true}, {""key"": ""estimated_value"", ""label"": ""Estimated Value"", ""icon"": ""💰"", ""found"": ""$19,259,847"", ""points"": 25, ""matched"": true}, {""key"": ""work_type"", ""label"": ""Work Type"", ""icon"": ""🔨"", ""found"": ""New Construction"", ""points"": 12, ""matched"": true}, {""key"": ""keywords"", ""label"": ""Property Use Keywords"", ""icon"": ""🏷"", ""found"": ""No relevant keywords"", ""points"": 0, ""matched"": false}], ""raw_score"": 92, ""final_score"": 92, ""clamped"": false}",2025-COMMCON-0001729,"1799 N Pennsylvania St, Denver, CO",Commercial,19259847,"New Building — North Capitol Hill neighborhood, 72.0 units",Deneuve Design Inc,2025-11-04,multifamily,New Construction,"Denver, CO",Denver,Medium,True,,,
