score,tier,action,reason,outreach,breakdown,permit_id,address,project_type,estimated_value,description,contractor_name,issue_date,category,work_type,source,city,email,contact_name,stage,актуальность,needs_email
97,Hot,Call today,"large budget $31.0M, new construction, hotel — high stone demand","Hi Kroenke Sports & Entertainment,

We noticed your project at nan and wanted to reach out. Zement Stone specializes in architectural stone veneer for hospitality projects — with 2,000+ PSI compressive strength and true 100 sq.ft coverage (no mortar-joint padding like most manufacturers). We can also match any custom color to your brand standards.

Would you be open to a free sample kit? Happy to connect at your convenience.

Best,
Zement Stone | Littleton, CO | 303-993-2737 | zementstone.com","{""base"": 40, ""criteria"": [{""key"": ""project_type"", ""label"": ""Project Type"", ""icon"": ""🏗"", ""found"": ""Private"", ""points"": 0, ""matched"": true}, {""key"": ""estimated_value"", ""label"": ""Estimated Value"", ""icon"": ""💰"", ""found"": ""$31,000,000"", ""points"": 25, ""matched"": true}, {""key"": ""work_type"", ""label"": ""Work Type"", ""icon"": ""🔨"", ""found"": ""New Construction"", ""points"": 12, ""matched"": true}, {""key"": ""keywords"", ""label"": ""Property Use Keywords"", ""icon"": ""🏨"", ""found"": ""Hotel"", ""points"": 20, ""matched"": true}], ""raw_score"": 97, ""final_score"": 97, ""clamped"": false}",3777327,nan,Private,31000000.0,"Ball Arena Redevelopment Phase 1A - Hotel — Hotels (244 rooms), Retail/Restaurants (< 10,000 sq-ft), Retail (< 10,000 sq-ft) [Planning]",Kroenke Sports & Entertainment,2026-05-07,hotel,New Construction,ConstructionWire,Denver,matt.mahoney@teamkse.com,Matt Mahoney,Planning,Low,False
97,Hot,Call today,"large budget $100.0M, new construction, hotel — high stone demand","Hi BNBuilders,

We noticed your project at 1490 Curtis St and wanted to reach out. Zement Stone specializes in architectural stone veneer for hospitality projects — with 2,000+ PSI compressive strength and true 100 sq.ft coverage (no mortar-joint padding like most manufacturers). We can also match any custom color to your brand standards.

Would you be open to a free sample kit? Happy to connect at your convenience.

Best,
Zement Stone | Littleton, CO | 303-993-2737 | zementstone.com","{""base"": 40, ""criteria"": [{""key"": ""project_type"", ""label"": ""Project Type"", ""icon"": ""🏗"", ""found"": ""Private"", ""points"": 0, ""matched"": true}, {""key"": ""estimated_value"", ""label"": ""Estimated Value"", ""icon"": ""💰"", ""found"": ""$100,000,000"", ""points"": 25, ""matched"": true}, {""key"": ""work_type"", ""label"": ""Work Type"", ""icon"": ""🔨"", ""found"": ""New Construction"", ""points"": 12, ""matched"": true}, {""key"": ""keywords"", ""label"": ""Property Use Keywords"", ""icon"": ""🏨"", ""found"": ""Inn"", ""points"": 20, ""matched"": true}], ""raw_score"": 97, ""final_score"": 97, ""clamped"": false}",3345249,1490 Curtis St,Private,100000000.0,"Coal Creek Innovation Park — Retail (25,000-49,999 sq-ft), MultiFamily (100,000-249,999 sq-ft), Office/Research/Technology (250,000+ sq-ft), Parking Structures [Planning]",BNBuilders,2026-05-08,hotel,New Construction,ConstructionWire,Superior,mark.glaeser@bnbuilders.com,Marc Glaeser,Planning,Low,False
97,Hot,Call today,"large budget $14.4M, new construction, hotel — high stone demand","Hi Aspen Built Inc,

We noticed your project at nan and wanted to reach out. Zement Stone specializes in architectural stone veneer for hospitality projects — with 2,000+ PSI compressive strength and true 100 sq.ft coverage (no mortar-joint padding like most manufacturers). We can also match any custom color to your brand standards.

Would you be open to a free sample kit? Happy to connect at your convenience.

Best,
Zement Stone | Littleton, CO | 303-993-2737 | zementstone.com","{""base"": 40, ""criteria"": [{""key"": ""project_type"", ""label"": ""Project Type"", ""icon"": ""🏗"", ""found"": ""Private"", ""points"": 0, ""matched"": true}, {""key"": ""estimated_value"", ""label"": ""Estimated Value"", ""icon"": ""💰"", ""found"": ""$14,436,000"", ""points"": 25, ""matched"": true}, {""key"": ""work_type"", ""label"": ""Work Type"", ""icon"": ""🔨"", ""found"": ""New Construction"", ""points"": 12, ""matched"": true}, {""key"": ""keywords"", ""label"": ""Property Use Keywords"", ""icon"": ""🏨"", ""found"": ""Hotel"", ""points"": 20, ""matched"": true}], ""raw_score"": 97, ""final_score"": 97, ""clamped"": false}",3646354,nan,Private,14436000.0,"7051 County Road 335 Mixed-Use Development — Retail/Restaurants (< 10,000 sq-ft), Hotels (10,000-24,999 sq-ft), Retail/Office (10,000-24,999 sq-ft), MultiFamily (10,000-24,999 sq-ft) [Planning]",Aspen Built Inc,2026-04-29,hotel,New Construction,ConstructionWire,New Castle,caetfox@gmail.com,Caetlin Fox,Planning,Low,False
97,Hot,Call today,"large budget $101.0M, new construction, hotel — high stone demand","Hi Five Point Development Corp.,

We noticed your project at nan and wanted to reach out. Zement Stone specializes in architectural stone veneer for hospitality projects — with 2,000+ PSI compressive strength and true 100 sq.ft coverage (no mortar-joint padding like most manufacturers). We can also match any custom color to your brand standards.

Would you be open to a free sample kit? Happy to connect at your convenience.

Best,
Zement Stone | Littleton, CO | 303-993-2737 | zementstone.com","{""base"": 40, ""criteria"": [{""key"": ""project_type"", ""label"": ""Project Type"", ""icon"": ""🏗"", ""found"": ""Private"", ""points"": 0, ""matched"": true}, {""key"": ""estimated_value"", ""label"": ""Estimated Value"", ""icon"": ""💰"", ""found"": ""$101,000,000"", ""points"": 25, ""matched"": true}, {""key"": ""work_type"", ""label"": ""Work Type"", ""icon"": ""🔨"", ""found"": ""New Construction"", ""points"": 12, ""matched"": true}, {""key"": ""keywords"", ""label"": ""Property Use Keywords"", ""icon"": ""🏨"", ""found"": ""Hotel"", ""points"": 20, ""matched"": true}], ""raw_score"": 97, ""final_score"": 97, ""clamped"": false}",2854364,nan,Private,101000000.0,"Rossonian Hotel Redevelopment — Hotels (90 rooms), Social (7,200 sq-ft), Retail/Restaurants (4,800 sq-ft), Retail (< 10,000 sq-ft) [Starts in 4-12 months]",Five Point Development Corp.,2026-05-28,hotel,New Construction,ConstructionWire,Denver,josh.homer@crainearch.com,Joshua Homer,Starts in 4-12 months,Medium,False
97,Hot,Call today,"large budget $22.0M, new construction, hotel — high stone demand","Hi Oliver Buchanan Group,

We noticed your project at nan and wanted to reach out. Zement Stone specializes in architectural stone veneer for hospitality projects — with 2,000+ PSI compressive strength and true 100 sq.ft coverage (no mortar-joint padding like most manufacturers). We can also match any custom color to your brand standards.

Would you be open to a free sample kit? Happy to connect at your convenience.

Best,
Zement Stone | Littleton, CO | 303-993-2737 | zementstone.com","{""base"": 40, ""criteria"": [{""key"": ""project_type"", ""label"": ""Project Type"", ""icon"": ""🏗"", ""found"": ""Private"", ""points"": 0, ""matched"": true}, {""key"": ""estimated_value"", ""label"": ""Estimated Value"", ""icon"": ""💰"", ""found"": ""$22,000,000"", ""points"": 25, ""matched"": true}, {""key"": ""work_type"", ""label"": ""Work Type"", ""icon"": ""🔨"", ""found"": ""New Construction"", ""points"": 12, ""matched"": true}, {""key"": ""keywords"", ""label"": ""Property Use Keywords"", ""icon"": ""🏨"", ""found"": ""Hotel"", ""points"": 20, ""matched"": true}], ""raw_score"": 97, ""final_score"": 97, ""clamped"": false}",3084622,nan,Private,22000000.0,Denver Rock Drill Hotel — Hotels (175 rooms) [Planning],Oliver Buchanan Group,2026-05-04,hotel,New Construction,ConstructionWire,Denver,byron@portapowerinc.com,Byron Weiss,Planning,Low,False
97,Hot,Call today,"large budget $15.0M, new construction, hotel — high stone demand","Hi L.C. Fulenwider, Inc.,

We noticed your project at nan and wanted to reach out. Zement Stone specializes in architectural stone veneer for hospitality projects — with 2,000+ PSI compressive strength and true 100 sq.ft coverage (no mortar-joint padding like most manufacturers). We can also match any custom color to your brand standards.

Would you be open to a free sample kit? Happy to connect at your convenience.

Best,
Zement Stone | Littleton, CO | 303-993-2737 | zementstone.com","{""base"": 40, ""criteria"": [{""key"": ""project_type"", ""label"": ""Project Type"", ""icon"": ""🏗"", ""found"": ""Private"", ""points"": 0, ""matched"": true}, {""key"": ""estimated_value"", ""label"": ""Estimated Value"", ""icon"": ""💰"", ""found"": ""$15,000,000"", ""points"": 25, ""matched"": true}, {""key"": ""work_type"", ""label"": ""Work Type"", ""icon"": ""🔨"", ""found"": ""New Construction"", ""points"": 12, ""matched"": true}, {""key"": ""keywords"", ""label"": ""Property Use Keywords"", ""icon"": ""🏨"", ""found"": ""Hotel"", ""points"": 20, ""matched"": true}], ""raw_score"": 97, ""final_score"": 97, ""clamped"": false}",3812490,nan,Private,15000000.0,"Tower Plaza — Retail/Restaurants (40,000 sq-ft), Hotels (25,000-49,999 sq-ft) [Planning]","L.C. Fulenwider, Inc.",2026-05-15,hotel,New Construction,ConstructionWire,Denver,,,Planning,Low,True
97,Hot,Call today,"large budget $150.0M, new construction, hotel — high stone demand","Hi Confluence Companies,

We noticed your project at nan and wanted to reach out. Zement Stone specializes in architectural stone veneer for hospitality projects — with 2,000+ PSI compressive strength and true 100 sq.ft coverage (no mortar-joint padding like most manufacturers). We can also match any custom color to your brand standards.

Would you be open to a free sample kit? Happy to connect at your convenience.

Best,
Zement Stone | Littleton, CO | 303-993-2737 | zementstone.com","{""base"": 40, ""criteria"": [{""key"": ""project_type"", ""label"": ""Project Type"", ""icon"": ""🏗"", ""found"": ""Private"", ""points"": 0, ""matched"": true}, {""key"": ""estimated_value"", ""label"": ""Estimated Value"", ""icon"": ""💰"", ""found"": ""$150,000,000"", ""points"": 25, ""matched"": true}, {""key"": ""work_type"", ""label"": ""Work Type"", ""icon"": ""🔨"", ""found"": ""New Construction"", ""points"": 12, ""matched"": true}, {""key"": ""keywords"", ""label"": ""Property Use Keywords"", ""icon"": ""🏨"", ""found"": ""Hotel"", ""points"": 20, ""matched"": true}], ""raw_score"": 97, ""final_score"": 97, ""clamped"": false}",3395854,nan,Private,150000000.0,"Brickyard Planned Development Plan — Office (10,000-24,999 sq-ft), Retail (10,000-24,999 sq-ft), Social (10,000-24,999 sq-ft), Hotels (25,000-49,999 sq-ft), MultiFamily (250,000+ sq-ft) [Construction]",Confluence Companies,2026-05-04,hotel,New Construction,ConstructionWire,Castle Rock,,,Construction,High,True
97,Hot,Call today,"large budget $1000.0M, new construction, hotel — high stone demand","Hi The Weitz Company,

We noticed your project at 4725 S Monaco St and wanted to reach out. Zement Stone specializes in architectural stone veneer for hospitality projects — with 2,000+ PSI compressive strength and true 100 sq.ft coverage (no mortar-joint padding like most manufacturers). We can also match any custom color to your brand standards.

Would you be open to a free sample kit? Happy to connect at your convenience.

Best,
Zement Stone | Littleton, CO | 303-993-2737 | zementstone.com","{""base"": 40, ""criteria"": [{""key"": ""project_type"", ""label"": ""Project Type"", ""icon"": ""🏗"", ""found"": ""Private"", ""points"": 0, ""matched"": true}, {""key"": ""estimated_value"", ""label"": ""Estimated Value"", ""icon"": ""💰"", ""found"": ""$1,000,000,000"", ""points"": 25, ""matched"": true}, {""key"": ""work_type"", ""label"": ""Work Type"", ""icon"": ""🔨"", ""found"": ""New Construction"", ""points"": 12, ""matched"": true}, {""key"": ""keywords"", ""label"": ""Property Use Keywords"", ""icon"": ""🏨"", ""found"": ""Hotel"", ""points"": 20, ""matched"": true}], ""raw_score"": 97, ""final_score"": 97, ""clamped"": false}",3666813,4725 S Monaco St,Private,1000000000.0,"Four Seasons Hotel and Private Residences Telluride — Hotels (95 rooms), MultiFamily (26 units), Social (< 10,000 sq-ft), Athletic Facilities (< 10,000 sq-ft) [Construction]",The Weitz Company,2026-05-21,hotel,New Construction,ConstructionWire,Mountain Village,kyle.larson@weitz.com,Kyle Larson,Construction,High,False
97,Hot,Call today,"large budget $12.0M, new construction, hotel — high stone demand","Hi Confluence Companies,

We noticed your project at nan and wanted to reach out. Zement Stone specializes in architectural stone veneer for hospitality projects — with 2,000+ PSI compressive strength and true 100 sq.ft coverage (no mortar-joint padding like most manufacturers). We can also match any custom color to your brand standards.

Would you be open to a free sample kit? Happy to connect at your convenience.

Best,
Zement Stone | Littleton, CO | 303-993-2737 | zementstone.com","{""base"": 40, ""criteria"": [{""key"": ""project_type"", ""label"": ""Project Type"", ""icon"": ""🏗"", ""found"": ""Private"", ""points"": 0, ""matched"": true}, {""key"": ""estimated_value"", ""label"": ""Estimated Value"", ""icon"": ""💰"", ""found"": ""$12,000,000"", ""points"": 25, ""matched"": true}, {""key"": ""work_type"", ""label"": ""Work Type"", ""icon"": ""🔨"", ""found"": ""New Construction"", ""points"": 12, ""matched"": true}, {""key"": ""keywords"", ""label"": ""Property Use Keywords"", ""icon"": ""🏨"", ""found"": ""Hotel"", ""points"": 20, ""matched"": true}], ""raw_score"": 97, ""final_score"": 97, ""clamped"": false}",3395862,nan,Private,12000000.0,"Brickyard PDP Boutique Hotel — Hotels (125 rooms), Social (< 10,000 sq-ft) [Planning]",Confluence Companies,2026-05-04,hotel,New Construction,ConstructionWire,Castle Rock,,,Planning,Low,True
97,Hot,Call today,"large budget $12.0M, new construction, hotel — high stone demand","Hi Aspen Built Inc,

We noticed your project at nan and wanted to reach out. Zement Stone specializes in architectural stone veneer for hospitality projects — with 2,000+ PSI compressive strength and true 100 sq.ft coverage (no mortar-joint padding like most manufacturers). We can also match any custom color to your brand standards.

Would you be open to a free sample kit? Happy to connect at your convenience.

Best,
Zement Stone | Littleton, CO | 303-993-2737 | zementstone.com","{""base"": 40, ""criteria"": [{""key"": ""project_type"", ""label"": ""Project Type"", ""icon"": ""🏗"", ""found"": ""Private"", ""points"": 0, ""matched"": true}, {""key"": ""estimated_value"", ""label"": ""Estimated Value"", ""icon"": ""💰"", ""found"": ""$12,000,000"", ""points"": 25, ""matched"": true}, {""key"": ""work_type"", ""label"": ""Work Type"", ""icon"": ""🔨"", ""found"": ""New Construction"", ""points"": 12, ""matched"": true}, {""key"": ""keywords"", ""label"": ""Property Use Keywords"", ""icon"": ""🏨"", ""found"": ""Hotel"", ""points"": 20, ""matched"": true}], ""raw_score"": 97, ""final_score"": 97, ""clamped"": false}",3649188,nan,Private,12000000.0,"7051 County Road 335 Mixed-Use - Best Western Hotel — Hotels (71 rooms), Social (< 10,000 sq-ft), Retail/Restaurants (< 10,000 sq-ft), Athletic Facilities (< 10,000 sq-ft) [Planning]",Aspen Built Inc,2026-04-29,hotel,New Construction,ConstructionWire,New Castle,caetfox@gmail.com,Caetlin Fox,Planning,Low,False
